#{"t_start": 1705046947.592046, "env_id": "match3-wide-v0"}
r,l,t
400,26,6374.439663
350,117,6380.112612
350,38,6384.553339
250,22,6384.857449
400,45,6385.435442
250,36,6385.997858
450,36,6390.403767
400,26,6390.746081
250,48,6391.470397
450,40,6395.933102
500,16,6396.188602
350,22,6396.514812
400,63,6397.334243
500,15,6401.479606
300,33,6401.91841
250,36,6402.40173
300,33,6402.929503
350,52,6407.584634
300,23,6407.905984
300,84,6413.038691
250,16,6413.254433
450,189,6419.841931
400,29,6420.26828
350,22,6424.528618
500,35,6425.031997
600,55,6425.810766
100,32,6430.134489
500,25,6430.553387
400,24,6430.907193
150,63,6431.826298
150,82,6436.814953
250,41,6437.371808
350,25,6441.526039
200,49,6442.188861
250,143,6448.044814
500,37,6448.477367
300,25,6452.779541
250,26,6453.076298
300,172,6459.214266
350,27,6459.561269
200,26,6463.808526
250,32,6464.21083
500,200,6470.945259
200,28,6475.353649
400,17,6475.613589
400,92,6476.853978
350,33,6481.231452
400,95,6482.547607
300,26,6486.748811
350,25,6487.116829
300,57,6487.861826
300,17,6488.098886
500,471,6509.863505
550,37,6510.362662
250,31,6514.760122
450,56,6515.519893
350,89,6520.640646
300,123,6526.45002
500,79,6527.599624
200,22,6527.94559
200,42,6532.401845
500,278,6543.930344
450,19,6544.214248
350,34,6544.676618
250,34,6548.958813
350,120,6554.444822
350,65,6555.328273
250,25,6555.71536
350,29,6559.926046
300,144,6565.761794
450,22,6566.057769
450,23,6566.368854
450,168,6572.569808
400,22,6572.891639
250,69,6577.697067
600,37,6578.234578
350,28,6582.424693
350,24,6582.744677
400,24,6583.120616
150,69,6584.162087
150,21,6588.245569
250,22,6588.564687
250,29,6589.018755
150,33,6589.478153
300,46,6593.928728
300,61,6594.835911
450,19,6595.154568
450,21,6595.471949
400,54,6599.97694
500,33,6600.478687
350,89,6605.564627
300,39,6606.12671
300,19,6606.423843
450,118,6611.947701
500,30,6612.367166
350,44,6616.776294
450,16,6617.042823
350,31,6617.481085
300,15,6617.715865
300,31,6618.201712
550,62,6622.898143
400,29,6623.317366
250,49,6627.825885
250,26,6628.166405
150,33,6628.698738
400,73,6633.53184
300,27,6633.955708
100,50,6634.673696
550,16,6634.865962
150,15,6635.14039
350,27,6639.259274
350,21,6639.577724
100,35,6640.116749
500,19,6640.41242
350,45,6644.877029
100,25,6645.281515
250,26,6645.631702
200,20,6645.957591
350,26,6646.407001
150,43,6650.905069
300,30,6651.392977
350,39,6652.00674
250,37,6656.453148
300,28,6656.887368
250,23,6657.226304
200,31,6657.724679
350,19,6658.0369
450,36,6662.433723
400,18,6662.67068
350,27,6663.12786
150,40,6663.761647
400,34,6668.12007
400,41,6668.706129
350,19,6668.961652
400,99,6674.167291
100,30,6674.64011
300,114,6680.295192
350,28,6680.699089
100,64,6685.40027
200,16,6685.66187
350,77,6686.729015
100,25,6691.017463
350,89,6692.207965
350,28,6692.605841
550,27,6696.769868
250,38,6697.302056
300,79,6702.15892
500,19,6702.467384
150,22,6702.766458
200,35,6703.279685
550,21,6703.544426
500,30,6707.774909
100,36,6708.256375
250,19,6708.542621
100,36,6709.107817
200,28,6709.522808
350,21,6713.616787
200,28,6713.988021
450,89,6719.004897
250,70,6719.990814
300,73,6724.85776
350,142,6730.602279
100,44,6731.188094
200,30,6731.596195
350,20,6735.682738
200,161,6741.679959
300,59,6742.537748
200,29,6742.957697
250,112,6748.366112
200,34,6752.679423
400,22,6753.017135
200,40,6753.562675
500,39,6754.109437
150,68,6758.936347
400,188,6765.279731
550,21,6769.506294
150,17,6769.703967
250,33,6770.175411
400,36,6770.64143
400,16,6770.890737
450,17,6771.086765
550,29,6775.269997
400,25,6775.640313
400,20,6775.923654
400,30,6776.361778
200,56,6780.918926
250,85,6782.178656
550,38,6786.640169
100,75,6787.725782
200,17,6787.974348
250,43,6792.351178
450,21,6792.662989
500,115,6798.091333
200,32,6798.521062
300,26,6798.95996
250,42,6803.363941
450,195,6809.82289
350,39,6810.383069
250,33,6814.722857
450,36,6815.218004
350,67,6816.207048
400,43,6820.656789
100,61,6821.516104
350,43,6826.059503
450,22,6826.365389
150,302,6838.541939
300,27,6838.968209
350,52,6843.574818
350,64,6844.48273
350,21,6844.78177
400,27,6849.067098
250,28,6849.468019
300,44,6850.062016
-100,31,6850.519793
200,31,6854.819265
650,22,6855.220651
250,33,6855.719523
450,16,6855.995948
200,60,6860.738125
200,15,6860.946118
500,25,6861.348294
200,25,6861.704853
600,51,6866.18488
500,29,6866.660756
350,27,6867.066893
450,22,6867.362704
350,27,6867.81477
150,22,6871.967557
300,35,6872.485331
250,17,6872.768816
300,66,6877.666837
400,27,6878.042193
100,23,6878.425181
150,43,6879.097176
300,43,6883.550416
350,22,6883.872523
200,85,6885.132843
400,30,6889.467265
200,19,6889.773202
400,26,6890.12098
400,25,6890.533664
600,18,6890.812903
250,53,6895.446035
300,24,6895.771039
350,42,6896.467273
150,19,6896.752991
250,29,6901.022161
500,31,6901.571975
550,29,6901.966789
500,102,6907.432521
400,50,6908.178988
400,18,6908.390333
350,25,6912.653068
450,30,6913.088138
150,33,6913.551682
250,21,6913.849242
250,25,6918.150717
0,17,6918.459261
250,55,6919.264032
300,25,6919.704293
150,44,6924.263038
350,27,6924.682114
250,24,6925.013411
800,37,6925.58479
500,171,6936.082925
350,35,6936.577316
350,15,6936.832611
500,45,6937.518981
300,27,6942.067967
200,23,6942.396934
350,29,6942.866817
150,23,6943.254855
350,157,6949.477139
300,18,6953.638259
500,75,6954.775386
250,203,6965.380083
400,55,6966.199544
500,51,6970.819236
300,40,6971.378258
350,22,6971.76658
500,65,6976.518086
350,27,6976.956222
250,25,6977.302151
350,57,6978.17262
550,30,6982.473477
450,18,6982.741049
400,25,6983.055614
200,17,6983.340035
350,22,6983.639257
350,26,6984.02029
600,27,6988.258676
150,52,6988.974175
200,26,6989.331568
350,80,6994.328737
300,27,6994.726048
250,27,6995.118038
350,38,6999.520694
250,45,7000.146435
300,20,7000.473972
100,39,7001.075007
450,18,7005.15912
400,25,7005.575541
450,37,7006.154831
250,19,7006.450943
400,21,7006.742421
150,30,7011.070195
100,30,7011.566225
250,33,7012.074984
300,32,7012.567202
400,32,7016.882376
150,30,7017.345748
300,61,7018.229226
150,34,7022.666473
400,25,7023.099261
300,21,7023.42626
400,109,7028.935758
250,22,7029.262079
150,24,7029.605805
200,23,7030.018118
550,18,7030.256224
300,32,7034.634084
300,58,7035.497239
250,27,7035.954311
450,23,7040.116502
400,41,7040.750357
300,17,7041.026589
400,47,7041.820265
400,65,7046.65612
400,22,7047.067851
350,17,7047.276434
300,23,7047.680625
400,34,7051.965911
250,102,7053.4512
300,36,7057.900918
